14.0617,14.0617,14.0527,14.0349,14.0082,13.9728,13.9289,13.8766,13.8161,13.7478,13.6719,13.5888,13.4989,13.4024,13.3,13.192,13.0789,12.9613,12.8397,12.7147,12.5868,12.4567,12.325,12.1923,12.0592,11.9265,11.7948,11.6648,11.537,11.4123,11.2911,11.1743,11.0623,10.9559,10.8556,10.762,10.6757,10.5972,10.5269,10.4655,10.4132,10.3705,10.3378,10.3153,10.3034,10.3022,10.312,10.3328,10.3647,10.4078,10.462,10.5272,10.6033,10.6901,10.7873,10.8948,11.0121,11.1389,11.2747,11.4192,11.5717,11.7319,11.8991,12.0727,12.2522,12.4369,12.6261,12.8192,13.0155,13.2143,13.4149,13.6166,13.8188,14.0206,14.2214,14.4205,14.6172,14.8108,15.0007,15.1862,15.3667,15.5415,15.7102,15.872,16.0265,16.1732,16.3115,16.441,16.5613,16.6719,16.7725,16.8629,16.9425,17.0113,17.069,17.1154,17.1503,17.1736,17.1853,17.1853
14.0617,14.0617,14.0527,14.0349,14.0082,13.9728,13.9289,13.8766,13.8161,13.7478,13.6719,13.5888,13.4989,13.4024,13.3,13.192,13.0789,12.9613,12.8397,12.7147,12.5868,12.4567,12.325,12.1923,12.0592,11.9265,11.7948,11.6648,11.537,11.4123,11.2911,11.1743,11.0623,10.9559,10.8556,10.762,10.6757,10.5972,10.5269,10.4655,10.4132,10.3705,10.3378,10.3153,10.3034,10.3022,10.312,10.3328,10.3647,10.4078,10.462,10.5272,10.6033,10.6901,10.7873,10.8948,11.0121,11.1389,11.2747,11.4192,11.5717,11.7319,11.8991,12.0727,12.2522,12.4369,12.6261,12.8192,13.0155,13.2143,13.4149,13.6166,13.8188,14.0206,14.2214,14.4205,14.6172,14.8108,15.0007,15.1862,15.3667,15.5415,15.7102,15.872,16.0265,16.1732,16.3115,16.441,16.5613,16.6719,16.7725,16.8629,16.9425,17.0113,17.069,17.1154,17.1503,17.1736,17.1853,17.1853
14.0513,14.0513,14.0423,14.0244,13.9977,13.9623,13.9183,13.8659,13.8054,13.737,13.661,13.5778,13.4877,13.3911,13.2885,13.1804,13.0671,12.9494,12.8276,12.7024,12.5743,12.444,12.3121,12.1792,12.0459,11.913,11.7811,11.6509,11.5229,11.3979,11.2766,11.1596,11.0474,10.9408,10.8403,10.7466,10.66,10.5813,10.5109,10.4493,10.3969,10.354,10.3212,10.2986,10.2866,10.2853,10.295,10.3157,10.3476,10.3907,10.4449,10.5102,10.5863,10.6732,10.7706,10.8782,10.9957,11.1226,11.2587,11.4034,11.5561,11.7165,11.884,12.0579,12.2376,12.4225,12.612,12.8054,13.002,13.2011,13.402,13.604,13.8064,14.0084,14.2095,14.4088,14.6058,14.7996,14.9898,15.1755,15.3562,15.5312,15.7,15.8621,16.0167,16.1635,16.302,16.4316,16.552,16.6628,16.7635,16.8539,16.9337,17.0025,17.0603,17.1067,17.1416,17.165,17.1767,17.1767
14.0305,14.0305,14.0215,14.0036,13.9768,13.9413,13.8972,13.8446,13.7839,13.7153,13.6392,13.5557,13.4653,13.3685,13.2656,13.1572,13.0436,12.9255,12.8034,12.6778,12.5493,12.4186,12.2863,12.153,12.0194,11.8861,11.7538,11.6231,11.4948,11.3694,11.2477,11.1303,11.0178,10.9108,10.8099,10.7158,10.6289,10.5499,10.4791,10.4171,10.3644,10.3213,10.2881,10.2653,10.253,10.2516,10.2611,10.2818,10.3136,10.3567,10.4109,10.4763,10.5526,10.6396,10.7373,10.8451,10.9629,11.0902,11.2267,11.3717,11.525,11.6859,11.8538,12.0282,12.2085,12.394,12.584,12.7779,12.9751,13.1747,13.3762,13.5787,13.7816,13.9842,14.1858,14.3856,14.5831,14.7774,14.9679,15.1541,15.3352,15.5106,15.6798,15.8422,15.9972,16.1443,16.2831,16.413,16.5336,16.6446,16.7455,16.8361,16.916,16.985,17.0428,17.0893,17.1243,17.1477,17.1595,17.1595
13.9994,13.9994,13.9904,13.9724,13.9455,13.9099,13.8656,13.8128,13.7519,13.683,13.6065,13.5227,13.432,13.3347,13.2314,13.1225,13.0084,12.8898,12.7671,12.641,12.512,12.3807,12.2478,12.114,11.9797,11.8459,11.713,11.5817,11.4528,11.3269,11.2046,11.0866,10.9736,10.866,10.7647,10.67,10.5826,10.503,10.4317,10.3693,10.316,10.2724,10.2389,10.2157,10.2031,10.2013,10.2106,10.2311,10.2628,10.3058,10.3601,10.4256,10.5021,10.5894,10.6874,10.7956,10.9139,11.0417,11.1787,11.3244,11.4784,11.6399,11.8086,11.9838,12.1649,12.3512,12.542,12.7368,12.9348,13.1352,13.3375,13.5409,13.7446,13.948,14.1503,14.3509,14.549,14.7441,14.9353,15.1221,15.3038,15.4798,15.6496,15.8125,15.968,16.1156,16.2547,16.385,16.506,16.6173,16.7186,16.8094,16.8896,16.9588,17.0168,17.0634,17.0985,17.122,17.1337,17.1337
13.9582,13.9582,13.9492,13.9311,13.9041,13.8682,13.8237,13.7706,13.7094,13.6401,13.5632,13.4789,13.3877,13.2899,13.186,13.0765,12.9618,12.8425,12.7191,12.5922,12.4625,12.3305,12.1968,12.0622,11.9272,11.7926,11.659,11.527,11.3974,11.2707,11.1478,11.0291,10.9153,10.8071,10.705,10.6097,10.5216,10.4413,10.3693,10.3062,10.2523,10.2081,10.1739,10.1502,10.1371,10.1349,10.1439,10.1641,10.1956,10.2385,10.2928,10.3584,10.4351,10.5228,10.6211,10.7299,10.8487,10.9773,11.115,11.2616,11.4164,11.5789,11.7486,11.9248,12.1069,12.2943,12.4862,12.6821,12.8812,13.0828,13.2861,13.4906,13.6954,13.8998,14.1032,14.3047,14.5039,14.6998,14.892,15.0796,15.2622,15.439,15.6095,15.7731,15.9292,16.0774,16.2172,16.348,16.4695,16.5812,16.6829,16.7741,16.8545,16.924,16.9822,17.029,17.0642,17.0878,17.0996,17.0996
13.9071,13.9071,13.8979,13.8797,13.8525,13.8164,13.7716,13.7182,13.6565,13.5868,13.5093,13.4245,13.3326,13.2342,13.1296,13.0193,12.9038,12.7836,12.6594,12.5317,12.401,12.2681,12.1336,11.998,11.8622,11.7267,11.5922,11.4594,11.3289,11.2014,11.0777,10.9582,10.8436,10.7346,10.6317,10.5355,10.4466,10.3655,10.2927,10.2287,10.174,10.129,10.094,10.0695,10.0557,10.053,10.0614,10.0812,10.1125,10.1552,10.2095,10.2751,10.352,10.44,10.5388,10.6482,10.7677,10.8971,11.0358,11.1833,11.3392,11.5029,11.6738,11.8513,12.0347,12.2234,12.4168,12.614,12.8145,13.0175,13.2222,13.428,13.6341,13.8399,14.0445,14.2474,14.4477,14.6448,14.8381,15.0268,15.2104,15.3882,15.5596,15.7241,15.881,16.03,16.1705,16.302,16.4241,16.5364,16.6385,16.7301,16.811,16.8808,16.9393,16.9863,17.0217,17.0454,17.0572,17.0572
13.8461,13.8461,13.8369,13.8185,13.7911,13.7547,13.7095,13.6557,13.5936,13.5233,13.4452,13.3597,13.2671,13.1678,13.0623,12.9511,12.8347,12.7136,12.5884,12.4596,12.3279,12.194,12.0584,11.9219,11.785,11.6485,11.5131,11.3793,11.248,11.1197,10.995,10.8747,10.7592,10.6493,10.5456,10.4485,10.3586,10.2765,10.2027,10.1377,10.082,10.036,10,9.97457,9.95991,9.95633,9.96406,9.98326,10.0141,10.0565,10.1106,10.1762,10.2533,10.3416,10.4409,10.5509,10.6713,10.8015,10.9413,11.09,11.2472,11.4122,11.5846,11.7636,11.9486,12.1389,12.3338,12.5328,12.7349,12.9395,13.1459,13.3533,13.5611,13.7684,13.9746,14.1789,14.3807,14.5792,14.7738,14.9638,15.1486,15.3276,15.5002,15.6657,15.8236,15.9735,16.1148,16.2471,16.37,16.4829,16.5856,16.6778,16.7591,16.8293,16.8881,16.9354,16.971,16.9948,17.0067,17.0067
13.7756,13.7756,13.7663,13.7478,13.7201,13.6834,13.6378,13.5835,13.5208,13.4499,13.3711,13.2847,13.1913,13.0911,12.9846,12.8724,12.7549,12.6326,12.5063,12.3764,12.2436,12.1085,11.9718,11.8342,11.6963,11.5588,11.4224,11.2877,11.1555,11.0263,10.9008,10.7797,10.6634,10.5526,10.4479,10.3499,10.259,10.1758,10.1009,10.0347,9.97776,9.93048,9.89331,9.86663,9.85081,9.84615,9.85289,9.87125,9.90134,9.94325,9.99697,10.0625,10.1396,10.2281,10.3279,10.4385,10.5597,10.691,10.8319,10.9819,11.1405,11.3071,11.4811,11.6618,11.8486,12.0408,12.2377,12.4385,12.6426,12.8491,13.0574,13.2668,13.4764,13.6855,13.8935,14.0996,14.3031,14.5032,14.6994,14.891,15.0772,15.2575,15.4314,15.5981,15.7572,15.9082,16.0505,16.1837,16.3074,16.4211,16.5245,16.6173,16.6992,16.7698,16.829,16.8766,16.9124,16.9364,16.9484,16.9484
13.6959,13.6959,13.6865,13.6678,13.6398,13.6028,13.5567,13.5018,13.4384,13.3668,13.2871,13.1999,13.1055,13.0042,12.8967,12.7833,12.6646,12.5411,12.4135,12.2824,12.1484,12.0121,11.8743,11.7356,11.5967,11.4582,11.3209,11.1855,11.0525,10.9226,10.7964,10.6745,10.5575,10.4459,10.3404,10.2414,10.1495,10.0652,9.98901,9.92147,9.86307,9.81429,9.77558,9.74736,9.73004,9.72394,9.72935,9.7465,9.77557,9.81664,9.86974,9.93482,10.0118,10.1004,10.2005,10.3117,10.4337,10.5659,10.7081,10.8595,11.0197,11.188,11.3638,11.5465,11.7353,11.9296,12.1286,12.3316,12.5378,12.7466,12.9571,13.1686,13.3804,13.5916,13.8016,14.0097,14.2151,14.4172,14.6151,14.8084,14.9963,15.1782,15.3535,15.5217,15.6821,15.8343,15.9777,16.112,16.2366,16.3512,16.4554,16.5489,16.6314,16.7025,16.7622,16.8101,16.8462,16.8703,16.8824,16.8824
